"filename", "language", "JSON", "Markdown", "HTML", "Vue", "TypeScript", "SCSS", "CSS", "TypeScript React", "JavaScript", "comment", "blank", "total"
"c:\Users\dell\Desktop\property\src\views\investmentManage\components\InvestmentChangesContrast.vue", "Vue", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 7, 174
"c:\Users\dell\Desktop\property\src\views\investmentManage\components\InvestmentCompairPercentEcharts.vue", "Vue", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 7, 136
"c:\Users\dell\Desktop\property\src\views\investmentManage\components\InvestmentMonthEcharts.vue", "Vue", 0, 0, 0, 175, 0, 0, 0, 0, 0, 1, 6, 182
"c:\Users\dell\Desktop\property\src\views\investmentManage\components\InvestmentProjects.vue", "Vue", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 6, 127
"c:\Users\dell\Desktop\property\src\views\investmentManage\components\InvestmentYearEcharts.vue", "Vue", 0, 0, 0, 235, 0, 0, 0, 0, 0, 7, 11, 253
"c:\Users\dell\Desktop\property\src\views\investmentManage\inverstmentIndexPage.vue", "Vue", 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 2, 59
"c:\Users\dell\Desktop\property\src\views\login\index.vue", "Vue", 0, 0, 0, 150, 0, 0, 0, 0, 0, 8, 12, 170
"c:\Users\dell\Desktop\property\src\views\map-page\leafMap.vue", "Vue", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\dell\Desktop\property\src\views\sysm\components\public\header.vue", "Vue", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\dell\Desktop\property\src\views\sysm\platform\components\function\addOrEditOrDel.vue", "Vue", 0, 0, 0, 182, 0, 0, 0, 0, 0, 9, 11, 202
"c:\Users\dell\Desktop\property\src\views\sysm\platform\components\function\table.vue", "Vue", 0, 0, 0, 62, 0, 0, 0, 0, 0, 3, 5, 70
"c:\Users\dell\Desktop\property\src\views\sysm\platform\components\modular\addOrEditOrDel.vue", "Vue", 0, 0, 0, 185, 0, 0, 0, 0, 0, 32, 6, 223
"c:\Users\dell\Desktop\property\src\views\sysm\platform\components\modular\table.vue", "Vue", 0, 0, 0, 108, 0, 0, 0, 0, 0, 4, 6, 118
